order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
180,77266829.59,34.6958247,1.490084106,9.90E-08,11.3459799,-644.6135147,,0.000985688,-0.001619977,-0.003384338,5.624248018
181,77202892.85,34.70255723,1.497618452,9.91E-08,11.38040201,-641.5025185,,0.000970129,-0.001655645,-0.003653907,5.620594111
182,77137693.05,34.70919758,1.505196266,9.92E-08,11.41482412,-638.4204826,,0.000956661,-0.001689764,-0.003903397,5.616690714
183,77071178.34,34.71570957,1.512808978,9.93E-08,11.44924623,-635.3671283,,0.000937991,-0.001725315,-0.004187495,5.612503219
184,77003435.93,34.72212204,1.520462282,9.95E-08,11.48366834,-632.3428485,,0.000923484,-0.001758691,-0.004437155,5.608066064
185,76934504.32,34.72844087,1.528157109,9.96E-08,11.51809045,-629.3463755,,0.00090983,-0.001791154,-0.004676711,5.603389353
186,76864417.64,34.73466786,1.535893106,9.97E-08,11.55251256,-626.3779403,,0.000896447,-0.001822814,-0.004909857,5.598479496
187,76793105.97,34.74075962,1.543659905,9.98E-08,11.58693467,-623.4374379,,0.000876822,-0.00185638,-0.005185423,5.593294073
188,76720730.75,34.74678034,1.551471451,9.99E-08,11.62135678,-620.5232159,,0.000866446,-0.001885829,-0.005389477,5.587904596
189,76647242.29,34.7526942,1.559318938,1.00E-07,11.65577889,-617.6353748,,0.000850922,-0.001916658,-0.0056273,5.582277296
190,76572701.66,34.75851929,1.567206019,1.00E-07,11.69020101,-614.7754065,,0.000838006,-0.001945978,-0.005842626,5.57643467
191,76497070.45,34.76422703,1.575125641,1.00E-07,11.72462312,-611.9388743,,0.000820989,-0.001976386,-0.006084539,5.570350131
192,76420416.25,34.76983769,1.583081723,1.00E-07,11.75904523,-609.1283442,,0.000806894,-0.002005113,-0.006301421,5.56404871
193,76342835.06,34.77538377,1.591081173,1.01E-07,11.79346734,-606.343201,,0.000797479,-0.00203141,-0.006480167,5.557568544
194,76264241.76,34.78081708,1.599112398,1.01E-07,11.82788945,-603.5822376,,0.00078114,-0.002060018,-0.006706641,5.550861903
195,76184715.1,34.78616308,1.607180593,1.01E-07,11.86231156,-600.8458413,,0.000768468,-0.002086644,-0.006902707,5.543959196
196,76104288.37,34.79142675,1.615286491,1.01E-07,11.89673367,-598.1332123,,0.000756517,-0.002112477,-0.00709008,5.536869117
197,76022913.79,34.79657777,1.623422334,1.01E-07,11.93115578,-595.4445439,,0.000740217,-0.002139646,-0.007306397,5.529562719
198,75940819.12,34.80170531,1.63160832,1.01E-07,11.96557789,-592.7779888,,0.000736734,-0.002160902,-0.007424192,5.522138527
199,75857614.97,34.80663339,1.639803254,1.02E-07,12,-590.135712,,0.000707973,-0.002192491,-0.007726817,5.51441171
